,artist_name,track_name,track_id,track_popularity,artist_id,song_length_ms
842,Morgan Wallen,Somebody’s Problem,0SErdEdRcVX1uJCf1eTGYH,64,4oUHIQIBe0LHzYfvXNW4QM,161773
843,CRi,Never Really Get There - Mixed,7LGnCsigzFh09fNjO8yWAb,8,3NaMuUYTIGm6CC3YqTuTvi,235000
844,Trippie Redd,Excitement (feat. PARTYNEXTDOOR),7FullO2NDkyvxLuxYVKINa,67,6Xgp2XMz1fhVYe7i6yNAax,283285
845,Qrion,It's All Over - Mixed,27d7BybysxFAkygrYYUozY,9,0bGDTQ78MVgI5Snqo9KJZw,232791
846,Billie Eilish,my future,2ygvZOXrIeVL4xZmAWJT2C,70,6qqNVTkY8uBg9cP3Jd7DAH,208155
847,Qrion,B4 Montreal - TSHA Remix (Mixed),52Jfd9naoVkh8iQYPmfRzO,8,0bGDTQ78MVgI5Snqo9KJZw,188000
848,MC Virgins,Trap Anthem,5YOlr46EwaH34hfN6r4vXR,70,3iNL7rw7fpmysjZvhB8vi7,133017
849,Imagine Dragons,Thunder,0B5ZK7sKy63LqzBFdc1Juj,10,53XhwfbYqKCa1cC15pYq2q,187146
850,Key Glock,Dough,2rw5cbtHTyzy8iruujD28d,64,0RESbWvOMyua0yuyVrztJ5,198866
851,Jerro,Tunnel Vision - Mixed,4MDdJzvpaODejmxWSqBGKZ,8,1WHFu22zN1C6F11Z1rt12K,209500
852,BTS,Black Swan,2EmcTFQ1rM11wp2ztsXTHa,74,3Nrfpe0tUJi4K4DXYWgMUX,198260
853,Luttrell,Lucky Ones - Leaving Laurel Remix (Mixed),0Lc0sd0Dqhi1CfiTLTUcNS,9,4EOyJnoiiOJ4vuNhSBArB2,251500
854,Lil Uzi Vert,Lo Mein,6CUP2khYzdphXebxVTfPE3,65,4O15NlyKLIASxsJ0PrXPfz,195299
855,Dosem,Eternal Summer - Mixed,06Exp4RhjwExplyB05Hgs9,8,0zmnkCTbAxYsZAMIqXEzfS,191375
856,Mac Miller,Circles,4jXl6VtkFFKIt3ycUQc5LT,67,4LLpKhyESsyAXpc4laK94U,170360
857,Magnus,Mirage - Mixed,4Q5TVAwpkSOmunKJ9q9pIw,3,1kUhPIQes1dQ6gnic127bh,291269
858,Taylor Swift,mirrorball,0ZNU020wNYvgW84iljPkPP,69,06HL4z0CvFAxyc27GXpf02,208977
859,Maroon 5,Wait,4egTUh77H4Zim2gwMPSKt7,7,04gDigrS5kc9YWfZHwBETP,190640
860,Leyla Blue,What A Shame,7FGIEAVXfegxngH9Jg6VwA,72,6HpIVA13SPof8sYuXRUfxj,177200
861,Black Eyed Peas,I Gotta Feeling,4GEWfbvGYNRLj31pQF46Md,9,1yxSLGMDHlW21z4YXirZDS,289493
862,Miley Cyrus,Angels Like You,1daDRI9ahBonbWD8YcxOIB,76,5YGY8feqx7naU7z4HrwZM6,196453
863,Carl Michael Ziehrer,Die Landstreicher: Ouvertüre,2QNhoXcJ8i0WwnT2NnuxVy,14,0Zn5m26BNsqyz9sK2ocQUq,298440
864,Taylor Swift,betty,5kI4eCXXzyuIUXjQra0Cxi,69,06HL4z0CvFAxyc27GXpf02,294521
865,Junko Yagami,ジョハナスバーグ - 2020 Remaster,2I6TAltIDOgjN22xBiJ0R6,4,6ooFYQBSq3sFEipwHfw5gr,313973
866,Miley Cyrus,Plastic Hearts,6qCsKKS7Ol63SJW3LOIX5R,71,5YGY8feqx7naU7z4HrwZM6,205733
867,Soyoco,secret base 〜君がくれたもの〜(10 years after Ver.) (あの日見た花の名前を僕達はまだ知らない。),5r9S4HZV1x2EgbQmHHjgr9,12,2ZLvXsN8k1YPfHWdAcKg0a,352003
868,Oliver Tree,Alien Boy,3BIIJgBJJ7NhhCv4MI6n7w,68,6TLwD7HPWuiOzvXEa3oCNe,164312
869,Junko Yagami,カメレオン - 2020 Remaster,2427yJkNe3fmr2PnTRWmxL,10,6ooFYQBSq3sFEipwHfw5gr,251000
870,Future,Too Comfortable,0biVzpdI2z0vAxwfU9xuuA,66,1RyvyyTE3xzB2ZywiAwp0i,236818
871,Christy Moore,Spancilhill - Remastered 2020,1flGOfQKMzIzUwhht06Tew,11,3Ebn7mKYzD0L3DaUB1gNJZ,291026
872,ODIE,Miss Summer,58VNpcJpI5dEKxYByCkbXc,67,5aMIbwZQvP2MHPMVC5zCGj,162376
873,October,Canon - 2020 Remastered,4oiqtcsg51na4nBvoyjpXb,7,1AkzuxRsDDcPQURcUARdlq,213211
874,Bad Bunny,SORRY PAPI,5jZ32WOU7sqzDYbzINwMUk,74,4q3ewBCX7sLwd24euuV69X,163053
875,Ash,Orpheus - 2020 - Remaster,59002qbl9aAYFrQTOS94fs,11,2evydP72Z45DouM4uMGsIE,255613
876,Kehlani,Toxic,5nexAvWNhwg51EavnDgViy,67,0cGUm45nv7Z6M6qdXYQGTX,168182
877,October,16.7.5 - 2020 Remastered,6ZmBHlPqVlCMcpHesOAETV,5,1AkzuxRsDDcPQURcUARdlq,241750
878,Olivia O'Brien,Josslyn,37ZKB38iNyKJ0xYEz9SJgk,67,1QRj3hoop9Mv5VvHQkwPEp,189125
879,Pop Pongkool,Happy Ending,70hw7R4uRRhvHJZVcuYFsG,9,1C6qssOWal7Sii2guMg0mx,231428
880,Adelmar Borrego,"Twinkle, Twinkle, Little Star",147gCksvDRmjG1pO51ZCcf,71,5bdLiUDd0rIMAkT1y6zLaE,100562
881,Greg Sletteland,Baby You're One of a Kind (Chill Electronic Music Remix),1JjUJUycDSFvZK0iWGWFW9,4,1UiwiBUiZQ4JkuSNnlSOmB,230220
882,Jagwar Twin,Happy Face,6QNCvcs758QuBEBISL6XIV,70,4luZExkmgn39Kj5XsYWria,170733
883,J-Dooly,Never.,3jVVpgqYbRqbWaluAOuU09,3,0fS1aOC9PyZ6eJhadYveWm,254066
884,Saweetie,Tap In,4Hpib09wXgD84w4uwTPnYD,67,6cK3NBO6uP7hh0oyuVELFl,139413
885,J-Dooly,"1,2,3,4life.",790qKaRDTaI7mT4WTCp4rB,3,0fS1aOC9PyZ6eJhadYveWm,184084
886,Taylor Swift,invisible string,6VsvKPJ4xjVNKpI8VVZ3SV,68,06HL4z0CvFAxyc27GXpf02,252880
887,Greg Sletteland,Thinking About You (Chill Deep House Remix),20vk0FBPnnUXC4wjfMF9Zd,4,1UiwiBUiZQ4JkuSNnlSOmB,205724
888,Drake,Toosie Slide,127QTOFJsJQp5LbJbu3A1y,73,3TVXtAsR1Inumwj472S9r4,247058
889,GRIFE,Life's Not a Contest,3Sqg12vvtpL1F3dwyrJi0v,14,0peVkBhumiuUyxMqc9EGUR,435032
890,Bad Bunny,HOY COBRÉ,0tjZv2hChdHZCW1zFXpy1J,71,4q3ewBCX7sLwd24euuV69X,162151
891,J-Dooly,So High.,2RZ6dclbxmBeL76mpC2sCn,3,0fS1aOC9PyZ6eJhadYveWm,261616
892,Junior H,Atrapado en un Sueño,4FJHSPdhQqxovmYP9YpcHN,69,7Gi6gjaWy3DxyilpF1a8Is,210161
893,The Cog is Dead,Aimee (Remastered 2020),7lfvWwze1qNob7gpV7q5Rl,6,5aLQtm6eoBgUhsbHvgAJPF,203885
894,Kenny Chesney,Knowing You,2EEfUuBRZA4Ax1vYcluFS0,63,3grHWM9bx2E9vwJCdlRv9O,226266
895,Fendaheads,The Breaks 2020,4XpPVB7NlEaAND6LejiitK,5,4tkY8qt5pUGjkA0d42NpUT,249500
896,Fly By Midnight,Automatic (feat. Jake Miller),6FoUUkUM4fVdh5pLZyxgjz,72,4rQTEdG6hDVOlDUFKs9EjZ,157472
897,Astrid S,Years,6jCOvlORD28a7e1rgZJYWD,8,3AVfmawzu83sp94QW7CEGm,190267
898,Eslabon Armado,Me Matas,50g9l7cOUIXt9LVl9eX784,66,0XeEobZplHxzM9QzFQWLiR,203706
899,Junko Yagami,REACHING OUT - 2020 Remaster,0UpylEW2zU45eSDxLkchrE,4,6ooFYQBSq3sFEipwHfw5gr,318413
900,Conan Gray,Comfort Crowd,6uaBrivDHCaV0uBTiwHTUi,68,4Uc8Dsxct0oMqx0P6i60ea,174680
901,Junko Yagami,ダイナマイト ラブ - 2020 Remaster,6CCzg76ozEPE6LiHtWXyOp,9,6ooFYQBSq3sFEipwHfw5gr,254293
902,Juice WRLD,Can't Die,4PPLJAEYBSOcnzr9TZoqf9,67,4MCBfE4596Uoi2O4DtmEMz,182922
